timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1760374412562,3200,Take a vote,200,OK,Thread Group 1-33,text,true,,1110,329,70,70,http://localhost:9000/invoice/calculate,,3200,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760374412452,3311,Take a vote,200,OK,Thread Group 1-22,text,true,,1110,329,69,69,http://localhost:9000/invoice/calculate,,3311,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760374412522,3245,Take a vote,200,OK,Thread Group 1-29,text,true,,1110,329,69,69,http://localhost:9000/invoice/calculate,,3245,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760374412543,3225,Take a vote,200,OK,Thread Group 1-31,text,true,,1110,329,69,69,http://localhost:9000/invoice/calculate,,3225,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760374412483,3297,Take a vote,200,OK,Thread Group 1-25,text,true,,1110,329,66,66,http://localhost:9000/invoice/calculate,,3297,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760374412602,3202,Take a vote,200,OK,Thread Group 1-37,text,true,,1110,329,65,65,http://localhost:9000/invoice/calculate,,3202,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760374412623,3181,Take a vote,200,OK,Thread Group 1-39,text,true,,1110,329,65,65,http://localhost:9000/invoice/calculate,,3181,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760374412512,3292,Take a vote,200,OK,Thread Group 1-28,text,true,,1110,329,65,65,http://localhost:9000/invoice/calculate,,3292,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760374412462,3343,Take a vote,200,OK,Thread Group 1-23,text,true,,1110,329,65,65,http://localhost:9000/invoice/calculate,,3343,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760374412494,3311,Take a vote,200,OK,Thread Group 1-26,text,true,,1110,329,65,65,http://localhost:9000/invoice/calculate,,3311,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760374412641,3164,Take a vote,200,OK,Thread Group 1-41,text,true,,1110,329,65,65,http://localhost:9000/invoice/calculate,,3164,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760374412552,3255,Take a vote,200,OK,Thread Group 1-32,text,true,,1110,329,59,59,http://localhost:9000/invoice/calculate,,3255,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760374412711,3185,Take a vote,200,OK,Thread Group 1-48,text,true,,1110,329,58,58,http://localhost:9000/invoice/calculate,,3185,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,0
1760374412701,3202,Take a vote,200,OK,Thread Group 1-47,text,true,,1110,329,57,57,http://localhost:9000/invoice/calculate,,3202,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
