timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1760369195549,1141,Take a vote,200,OK,Thread Group 1-1,text,true,,1110,329,100,100,http://localhost:9000/invoice/calculate,,1141,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760369195560,1217,Take a vote,200,OK,Thread Group 1-2,text,true,,1110,329,99,99,http://localhost:9000/invoice/calculate,,1217,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195569,1240,Take a vote,200,OK,Thread Group 1-3,text,false,"Value in json path '$.tally' expected to be '{""14499.75"": 3}', but found '{""14499.75"":2,""-1399.98"":1}'",1123,329,98,98,http://localhost:9000/invoice/calculate,,1240,UTF-8,1,1,santiago-ThinkPad-E14-Gen-5,0,1
1760369195578,1661,Take a vote,200,OK,Thread Group 1-4,text,false,"Value in json path '$.tally' expected to be '{""14499.75"": 3}', but found '{""14499.75"":2,""-1399.98"":1}'",1123,329,97,97,http://localhost:9000/invoice/calculate,,1660,UTF-8,1,1,santiago-ThinkPad-E14-Gen-5,0,1
1760369195598,1644,Take a vote,200,OK,Thread Group 1-6,text,true,,1110,329,96,96,http://localhost:9000/invoice/calculate,,1644,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760369195610,1637,Take a vote,200,OK,Thread Group 1-7,text,true,,1110,329,95,95,http://localhost:9000/invoice/calculate,,1637,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195588,1664,Take a vote,200,OK,Thread Group 1-5,text,true,,1110,329,94,94,http://localhost:9000/invoice/calculate,,1664,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195618,1639,Take a vote,200,OK,Thread Group 1-8,text,true,,1110,329,93,93,http://localhost:9000/invoice/calculate,,1639,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760369195650,1777,Take a vote,200,OK,Thread Group 1-11,text,true,,1110,329,92,92,http://localhost:9000/invoice/calculate,,1777,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195630,1798,Take a vote,200,OK,Thread Group 1-9,text,true,,1110,329,92,92,http://localhost:9000/invoice/calculate,,1798,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195668,1761,Take a vote,200,OK,Thread Group 1-13,text,true,,1110,329,90,90,http://localhost:9000/invoice/calculate,,1761,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195659,1770,Take a vote,200,OK,Thread Group 1-12,text,true,,1110,329,90,90,http://localhost:9000/invoice/calculate,,1770,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760369195689,1742,Take a vote,200,OK,Thread Group 1-15,text,true,,1110,329,88,88,http://localhost:9000/invoice/calculate,,1742,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760369195640,1791,Take a vote,200,OK,Thread Group 1-10,text,true,,1110,329,88,88,http://localhost:9000/invoice/calculate,,1791,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,2
1760369195679,1753,Take a vote,200,OK,Thread Group 1-14,text,true,,1110,329,86,86,http://localhost:9000/invoice/calculate,,1753,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195728,1707,Take a vote,200,OK,Thread Group 1-19,text,true,,1110,329,85,85,http://localhost:9000/invoice/calculate,,1707,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
1760369195708,1728,Take a vote,200,OK,Thread Group 1-17,text,true,,1110,329,85,85,http://localhost:9000/invoice/calculate,,1728,UTF-8,1,0,santiago-ThinkPad-E14-Gen-5,0,1
